Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,TimeSignature,Valence
0.363,0.419,297373,0.414,TRUE,1.1e-5,0.141,-11.448,0,0.132,79.542,4,0.129
0.00268,0.684,219893,0.486,TRUE,1.48e-4,0.157,-10.155,1,0.132,131.913,4,0.355
0.501,0.495,301960,0.35,TRUE,0,0.0968,-14.651,0,0.328,135.48,4,0.269
0.00163,0.674,216440,0.543,TRUE,2.77e-6,0.139,-8.967,1,0.182,131.93,4,0.432
0.764,0.425,212280,0.484,TRUE,3.61e-6,0.274,-8.228,0,0.0519,135.329,4,0.185
0.128,0.561,206640,0.619,TRUE,0,0.0679,-8.719,0,0.237,139.645,4,0.365
0.117,0.85,157605,0.473,TRUE,0.0105,0.108,-5.747,0,0.209,85.454,4,0.38
0.139,0.538,433800,0.755,TRUE,1.37e-5,0.114,-6.766,1,0.5,93.685,4,0.261
0.0113,0.337,233560,0.853,TRUE,0,0.14,-5.611,1,0.278,101.034,5,0.427
0.328,0.652,319387,0.894,TRUE,0,0.354,-5.701,0,0.398,87.59,4,0.262
0.19,0.735,275840,0.41,TRUE,0,0.341,-8.735,0,0.2,114.812,4,0.164
0.0689,0.669,271573,0.511,TRUE,0,0.181,-6.943,1,0.395,122.029,4,0.429
0.0343,0.872,189230,0.389,TRUE,6.79e-4,0.0941,-8.343,1,0.0634,131.012,4,0.156
0.178,0.616,262047,0.501,TRUE,1.2e-5,0.105,-5.722,0,0.24,94.554,4,0.506
0.477,0.775,247893,0.482,FALSE,0.0456,0.11,-11.269,1,0.0357,136.016,4,0.134
0.0239,0.857,180667,0.639,TRUE,0,0.121,-8.622,1,0.128,105.504,4,0.477
0.158,0.771,270200,0.781,TRUE,0,0.185,-6.361,1,0.147,109.945,4,0.407
0.365,0.636,235987,0.566,TRUE,3.53e-4,0.0917,-7.16,0,0.106,151.894,4,0.425
0.0529,0.859,205879,0.56,FALSE,0,0.114,-7.249,1,0.201,142.04,4,0.625
0.759,0.489,272573,0.57,TRUE,2.1e-6,0.179,-10.291,1,0.306,185.516,4,0.584
0.0891,0.586,210747,0.909,TRUE,1.09e-4,0.119,-6.474,1,0.0705,93.394,4,0.757
0.614,0.508,320400,0.234,TRUE,1.63e-4,0.111,-8.724,1,0.109,195.092,4,0.392
0.015,0.758,184960,0.474,TRUE,0,0.116,-8.72,1,0.146,76.062,4,0.0541
0.0572,0.488,255827,0.487,TRUE,0,0.204,-8.831,0,0.281,99.438,4,0.134
0.0481,0.487,216333,0.849,TRUE,0,0.143,-5.432,1,0.246,152.093,4,0.52
0.024,0.715,241853,0.561,TRUE,0,0.0769,-7.605,1,0.0721,100.076,4,0.297
0.133,0.607,136187,0.596,TRUE,0,0.123,-9.09,0,0.358,77.324,4,0.149
0.115,0.743,240218,0.66,TRUE,0,0.101,-4.802,0,0.418,192.031,4,0.549
0.00902,0.785,173987,0.617,FALSE,0.00246,0.351,-5.871,1,0.0522,103.981,4,0.382
0.0141,0.767,227960,0.646,FALSE,0.0147,0.0812,-9.229,1,0.118,150.962,4,0.952
0.0626,0.919,149569,0.627,TRUE,0,0.529,-6.764,0,0.234,97.076,4,0.52
0.406,0.558,309560,0.415,TRUE,0,0.36,-7.355,0,0.358,127.096,4,0.317
0.0322,0.673,266325,0.81,TRUE,0,0.133,-3.793,1,0.36,166.084,4,0.564
0.00378,0.881,231231,0.566,FALSE,6.83e-6,0.204,-7.562,1,0.136,140.04,4,0.232
0.128,0.761,163974,0.598,TRUE,0,0.0839,-7.249,0,0.182,173.897,4,0.447
0.0621,0.617,218674,0.492,TRUE,0,0.484,-7.588,0,0.448,141.953,4,0.208
0.727,0.698,226907,0.547,TRUE,0,0.159,-7.607,1,0.315,83.801,4,0.548
0.236,0.761,114547,0.683,TRUE,0,0.176,-4.637,1,0.293,91.06,4,0.47
0.266,0.724,392827,0.685,TRUE,0,0.0771,-4.413,0,0.0768,132.09,4,0.524
0.249,0.738,305627,0.776,TRUE,0,0.118,-3.97,1,0.328,91.38,4,0.353
0.0347,0.899,251827,0.808,FALSE,1.59e-5,0.0863,-4.57,1,0.21,96.423,4,0.492
0.0258,0.696,236840,0.885,TRUE,0,0.247,-3.804,0,0.348,175.912,4,0.708
0.00164,0.647,182640,0.778,TRUE,0,0.389,-5.257,1,0.224,82.918,4,0.252
0.244,0.696,142192,0.634,TRUE,0,0.437,-6.918,0,0.281,89.973,4,0.728
0.0566,0.803,319853,0.817,TRUE,0,0.0601,-2.666,0,0.364,76.507,4,0.747
0.0619,0.758,310720,0.616,TRUE,9.44e-6,0.121,-5.25,1,0.203,83.707,4,0.134
0.00917,0.866,226733,0.599,TRUE,0,0.0655,-7.903,1,0.163,94.982,4,0.831
0.525,0.649,62720,0.383,FALSE,1.78e-4,0.311,-20.205,1,0.514,98.654,3,0.653
0.0806,0.583,348400,0.753,TRUE,0,0.397,-5.485,0,0.394,173.954,4,0.54
0.0589,0.764,278160,0.828,TRUE,0,0.352,-2.027,1,0.308,175.924,4,0.799
0.125,0.73,276250,0.578,TRUE,0,0.128,-7.024,0,0.516,170.71,4,0.37
0.461,0.326,46867,0.759,TRUE,2.45e-4,0.938,-18.93,0,0.0564,83.364,4,0.0267
0.00263,0.806,218533,0.902,TRUE,0,0.299,-3.113,0,0.301,90.026,4,0.753
0.0407,0.75,269027,0.545,FALSE,0,0.0837,-3.668,1,0.105,92.953,3,0.0914
0.879,0.61,51827,0.283,FALSE,1.16e-6,0.293,-9.696,0,0.0286,99.917,4,0.762
0.0311,0.939,337941,0.551,TRUE,0,0.192,-9.126,1,0.291,118.552,4,0.42
0.471,0.534,288984,0.906,TRUE,0,0.782,-2.316,1,0.349,174.058,4,0.499
0.00324,0.861,265333,0.731,TRUE,0,0.0807,-5.814,0,0.243,95.919,4,0.36
